FT,0-0,2010-03-12T20:19:05Z
FT,2-1,2010-03-12T20:24:21Z
FT,0-0,2010-03-12T20:28:08Z
FT,0-2,2010-03-12T20:46:27Z
FF,0-0,2010-03-12T22:18:04Z
FF,0-0,2010-03-12T22:35:57Z
FF,2-2,2010-03-13T20:35:19Z
SL,3-1,2010-03-13T21:22:11Z
CH,1-1,2010-03-13T21:22:11Z
SL,0-1,2010-03-13T21:41:41Z
CH,1-2,2010-03-13T21:22:11Z
FF,2-1,2010-03-13T22:13:48Z
FT,2-1,2010-03-13T20:14:53Z
CH,3-2,2010-03-13T20:18:06Z
CH,1-1,2010-03-13T20:20:50Z
FF,2-0,2010-03-13T21:05:04Z
FF,2-0,2010-03-13T21:06:32Z
FT,1-1,2010-03-13T21:41:55Z
FF,1-0,2010-03-13T22:23:01Z
FF,3-2,2010-03-14T20:25:33Z
CU,0-0,2010-03-14T20:26:19Z
SL,0-0,2010-03-14T21:41:44Z
FF,1-0,2010-03-14T21:51:15Z
FF,2-2,2010-03-14T20:13:56Z
FF,2-2,2010-03-14T21:13:17Z
FF,0-0,2010-03-16T02:23:35Z
FF,1-0,2010-03-16T03:36:57Z
FF,0-0,2010-03-16T03:42:34Z
FF,2-2,2010-03-16T03:45:34Z
SL,0-1,2010-03-16T03:51:27Z
FT,0-0,2010-03-16T03:55:51Z
FF,0-0,2010-03-16T04:43:23Z
CH,1-1,2010-03-16T01:56:47Z
FT,0-1,2010-03-16T02:00:03Z
FF,0-1,2010-03-16T02:10:13Z
FF,2-2,2010-03-16T02:13:23Z
CH,2-2,2010-03-16T03:22:45Z
CH,2-1,2010-03-16T20:17:45Z
FT,0-0,2010-03-16T20:41:44Z
FF,1-2,2010-03-16T21:11:54Z
FF,0-0,2010-03-16T21:15:22Z
SL,0-0,2010-03-16T20:41:51Z
SL,1-1,2010-03-16T21:01:00Z
SL,2-1,2010-03-17T20:27:06Z
FF,0-0,2010-03-17T20:39:39Z
FF,0-0,2010-03-17T20:39:39Z
FT,2-2,2010-03-17T21:03:04Z
FF,0-1,2010-03-17T21:09:20Z
FF,1-0,2010-03-17T21:11:38Z
FF,2-1,2010-03-17T21:12:52Z
FT,2-0,2010-03-17T21:17:38Z
FF,0-0,2010-03-17T21:54:25Z
SL,1-1,2010-03-17T22:20:18Z
CU,0-1,2010-03-17T22:47:10Z
SL,0-0,2010-03-17T23:06:04Z
SL,1-2,2010-03-17T23:11:39Z
FF,3-2,2010-03-17T23:16:42Z
CH,3-2,2010-03-17T23:19:02Z
CH,1-0,2010-03-18T02:54:11Z
FF,3-1,2010-03-18T03:24:21Z
FF,2-2,2010-03-18T03:29:40Z
SL,0-2,2010-03-18T20:49:03Z
CH,2-2,2010-03-18T21:17:51Z
FF,0-0,2010-03-18T22:51:16Z
FF,1-1,2010-03-19T01:47:30Z
FT,0-0,2010-03-19T03:43:22Z
SI,0-1,2010-03-19T20:13:21Z
FT,1-0,2010-03-19T21:20:27Z
FC,3-2,2010-03-19T22:02:23Z
FF,0-0,2010-03-19T22:10:17Z
SL,0-1,2010-03-19T22:11:32Z
FF,3-2,2010-03-19T22:33:05Z
SL,2-0,2010-03-20T02:28:48Z
SL,1-2,2010-03-20T02:40:43Z
SL,1-1,2010-03-20T03:18:11Z
FT,1-0,2010-03-20T05:17:54Z
FT,0-0,2010-03-20T04:52:30Z
FF,1-2,2010-03-20T04:56:30Z
SI,0-1,2010-03-20T05:05:24Z
FF,1-1,2010-03-20T20:34:58Z
